categoria,subcategoria,nome,descricao,foto_url
Comércio,Materiais de construção,Material de Construção Nordeste,,
Comércio,Materiais de construção,Casa do Construtor,,
Comércio,Materiais de construção,Depósito São Jorge,,
Comércio,Materiais de construção,Constrular,,
Comércio,Materiais de construção,Center Construção,,
Automotivo,Mecânica,Bosch Car Service,,
Automotivo,Mecânica,Auto Mecânica Sergipe,,
Automotivo,Mecânica,Mecânica do João,,
Automotivo,Mecânica,Mecânica Central,,
Automotivo,Mecânica,Auto Center Brasil,,
Automotivo,Mecânica,Mecânica Atalaia,,
Automotivo,Mecânica,Mecânica Jardins,,
Automotivo,Mecânica,Mecânica Express,,
Automotivo,Mecânica,Mecânica Premium,,
Automotivo,Mecânica,Oficina do Carro,,
Profissionais Liberais,Médico Clínico Geral,Dr. João Silva,,
Profissionais Liberais,Médico Clínico Geral,Dra. Maria Santos,,
Profissionais Liberais,Médico Clínico Geral,Dr. Carlos Oliveira,,
Profissionais Liberais,Médico Clínico Geral,Dra. Ana Lima,,
Profissionais Liberais,Médico Clínico Geral,Dr. Paulo Andrade,,
Profissionais Liberais,Médico Clínico Geral,Dra. Fernanda Rocha,,
Profissionais Liberais,Médico Clínico Geral,Dr. Ricardo Souza,,
Profissionais Liberais,Médico Clínico Geral,Dra. Juliana Mendes,,
Profissionais Liberais,Médico Clínico Geral,Dr. Marcos Ribeiro,,
Profissionais Liberais,Médico Clínico Geral,Dra. Carla Alves,,
Comércio,Moda íntima e praia,Hope,,
Comércio,Moda íntima e praia,Loungerie,,
Comércio,Moda íntima e praia,Valisere,,
Comércio,Moda íntima e praia,Track&Field,,
Comércio,Moda íntima e praia,Cia Marítima,,
Comércio,Moda íntima e praia,Água de Coco,,
Comércio,Moda íntima e praia,Salinas,,
Comércio,Moda íntima e praia,Rosa Chá,,
Comércio,Moda íntima e praia,Lupo,,
Comércio,Moda íntima e praia,Scala,,
Comércio,Móveis,Tok&Stok,,
Comércio,Móveis,Etna,,
Comércio,Móveis,Magazine Luiza,,
Comércio,Móveis,Casas Bahia,,
Comércio,Móveis,Novo Mundo,,
Comércio,Móveis,Lojas Insinuante,,
Comércio,Móveis,Móveis Simonetti,,
Comércio,Móveis,Marabraz,,
Comércio,Móveis,Casas Pernambucanas,,
Comércio,Móveis,Havan,,
Profissionais Liberais,Nutricionista,Dra. Ana Paula Nutrição,,
Profissionais Liberais,Nutricionista,Dra. Juliana Nutricionista,,
Profissionais Liberais,Nutricionista,Dra. Fernanda Nutrição,,
Profissionais Liberais,Nutricionista,Dra. Carla Nutricionista,,
Profissionais Liberais,Nutricionista,Dra. Renata Nutrição,,
Profissionais Liberais,Nutricionista,Dra. Patrícia Nutricionista,,
Profissionais Liberais,Nutricionista,Dra. Marina Nutrição,,
Profissionais Liberais,Nutricionista,Dra. Paula Nutricionista,,
Profissionais Liberais,Nutricionista,Dra. Luciana Nutrição,,
Profissionais Liberais,Nutricionista,Dra. Camila Nutricionista,,
Serviços,Organização de eventos,Cerimonialista Ana Andrade,,
Serviços,Organização de eventos,Eventos & Cia,,
Serviços,Organização de eventos,Prime Eventos,,
Serviços,Organização de eventos,Elegance Eventos,,
Serviços,Organização de eventos,Top Eventos SE,,
Serviços,Organização de eventos,Celebrar Eventos,,
Serviços,Organização de eventos,Master Eventos,,
Serviços,Organização de eventos,Infinity Eventos,,
Serviços,Organização de eventos,Ideal Eventos,,
Serviços,Organização de eventos,Classe A Eventos,,
Comércio,Ótica,Óticas Diniz,,
Comércio,Ótica,Óticas Carol,,
Comércio,Ótica,Chilli Beans,,
Comércio,Ótica,Óticas Rocha,,
Comércio,Ótica,Óticas Aracaju,,
Comércio,Ótica,Ótica Center,,
Comércio,Ótica,Ótica Popular,,
Comércio,Ótica,Ótica Brasil,,
Comércio,Ótica,Ótica Visão,,
Comércio,Ótica,Ótica Premium,,
Alimentação,Padaria,Padaria União,,
Alimentação,Padaria,Padaria Pão & Cia,,
Alimentação,Padaria,Padaria Jardins,,
Alimentação,Padaria,Padaria Atalaia,,
Alimentação,Padaria,Padaria Central,,
Alimentação,Padaria,Padaria São José,,
Alimentação,Padaria,Padaria Ideal,,
Alimentação,Padaria,Padaria Pão de Ouro,,
Alimentação,Padaria,Padaria Delícia,,
Alimentação,Padaria,Padaria Premium,,
Empresas e Negócios,Papelaria corporativa,Kalunga,,
Empresas e Negócios,Papelaria corporativa,Papelaria Globo,,
Empresas e Negócios,Papelaria corporativa,Papelaria Central,,
Empresas e Negócios,Papelaria corporativa,Papelaria São José,,
Empresas e Negócios,Papelaria corporativa,Papelaria Jardins,,
Empresas e Negócios,Papelaria corporativa,Papelaria Atalaia,,
Empresas e Negócios,Papelaria corporativa,Papelaria Brasil,,
Empresas e Negócios,Papelaria corporativa,Papelaria Office,,
Empresas e Negócios,Papelaria corporativa,Papelaria Executiva,,
Empresas e Negócios,Papelaria corporativa,Papelaria Master,,
Profissionais Liberais,Pediatra,Dra. Ana Paula Pediatra,,
Profissionais Liberais,Pediatra,Dra. Juliana Pediatra,,
Profissionais Liberais,Pediatra,Dra. Fernanda Pediatra,,
Profissionais Liberais,Pediatra,Dra. Carla Pediatra,,
Profissionais Liberais,Pediatra,Dra. Renata Pediatra,,
Profissionais Liberais,Pediatra,Dra. Patrícia Pediatra,,
Profissionais Liberais,Pediatra,Dra. Luciana Pediatra,,
Profissionais Liberais,Pediatra,Dra. Daniela Pediatra,,
Profissionais Liberais,Pediatra,Dra. Paula Pediatra,,
Profissionais Liberais,Pediatra,Dra. Marina Pediatra,,
Comércio,Perfumarias,O Boticário,,
Comércio,Perfumarias,Natura,,
Comércio,Perfumarias,Eudora,,
Comércio,Perfumarias,"Quem Disse, Berenice?",,
Comércio,Perfumarias,Sephora,,
Comércio,Perfumarias,Lojas REDE,,
Comércio,Perfumarias,Ikesaki,,
Comércio,Perfumarias,Avon Store,,
Comércio,Perfumarias,Beleza na Web,,
Comércio,Perfumarias,Mundo dos Cosméticos,,
Profissionais Liberais,Personal Trainer,Personal João Silva,,
Profissionais Liberais,Personal Trainer,Personal Carlos Andrade,,
Profissionais Liberais,Personal Trainer,Personal Marcos Fit,,
Profissionais Liberais,Personal Trainer,Personal Ana Fitness,,
Profissionais Liberais,Personal Trainer,Personal Juliana Fit,,
Profissionais Liberais,Personal Trainer,Personal Rodrigo Trainer,,
Profissionais Liberais,Personal Trainer,Personal Fitness SE,,
Profissionais Liberais,Personal Trainer,Personal Premium,,
Profissionais Liberais,Personal Trainer,Personal Saúde,,
Profissionais Liberais,Personal Trainer,Personal Elite,,
Serviços,Pet Shop,Cobasi,,
Serviços,Pet Shop,Petz,,
Serviços,Pet Shop,Mundo Pet,,
Serviços,Pet Shop,Pet Center Aracaju,,
Serviços,Pet Shop,Bicho Chic,,
Serviços,Pet Shop,Pet Vida,,
Serviços,Pet Shop,Pet House,,
Serviços,Pet Shop,Pet Show,,
Serviços,Pet Shop,Pet Mais,,
Serviços,Pet Shop,Pet Brasil,,
Alimentação,Pizzaria,Pizzaria Forno a Lenha,,
Alimentação,Pizzaria,Pizzaria La Bella,,
Alimentação,Pizzaria,Pizzaria Itália,,
Alimentação,Pizzaria,Pizzaria Bella Napoli,,
Alimentação,Pizzaria,Domino's Pizza,,
Alimentação,Pizzaria,Pizza Hut,,
Alimentação,Pizzaria,Pizzaria Suprema,,
Alimentação,Pizzaria,Pizzaria do Chef,,
Alimentação,Pizzaria,Pizzaria Atalaia,,
Alimentação,Pizzaria,Pizzaria Jardins,,
Saúde,Plano de Saúde,Unimed Sergipe,,
Saúde,Plano de Saúde,Hapvida,,
Saúde,Plano de Saúde,Bradesco Saúde,,
Saúde,Plano de Saúde,SulAmérica Saúde,,
Saúde,Plano de Saúde,Amil,,
Saúde,Plano de Saúde,NotreDame Intermédica,,
Saúde,Plano de Saúde,Porto Seguro Saúde,,
Saúde,Plano de Saúde,Allianz Saúde,,
Saúde,Plano de Saúde,Golden Cross,,
Saúde,Plano de Saúde,Saúde Caixa,,
Lazer e Entretenimento,Pousadas,Pousada Acalanto,,
Lazer e Entretenimento,Pousadas,Pousada Raio de Sol,,
Lazer e Entretenimento,Pousadas,Pousada Águas Douradas,,
Lazer e Entretenimento,Pousadas,Pousada Encantos de Aracaju,,
Lazer e Entretenimento,Pousadas,Pousada Praia e Mar,,
Lazer e Entretenimento,Pousadas,Pousada Atalaia,,
Lazer e Entretenimento,Pousadas,Pousada dos Caminhos,,
Lazer e Entretenimento,Pousadas,Pousada Vila Aju,,
Lazer e Entretenimento,Pousadas,Pousada Costa do Sol,,
Lazer e Entretenimento,Pousadas,Pousada Brisa do Mar,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Orla de Atalaia,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Praia de Atalaia,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Orla Pôr do Sol,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Crôa do Goré,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Praia do Refúgio,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Oceanário de Aracaju,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Projeto Tamar,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Passarela do Caranguejo,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Parque da Sementeira,,
Lazer e Entretenimento,Praia/Atrativo Turístico,Mercado Municipal,,
Comércio,Produtos rurais,Casa do Agricultor,,
Comércio,Produtos rurais,Agro Forte,,
Comércio,Produtos rurais,Agropecuária Nordeste,,
Comércio,Produtos rurais,Agrocenter Sergipe,,
Comércio,Produtos rurais,Casa Rural,,
Comércio,Produtos rurais,Agro Comercial SE,,
Comércio,Produtos rurais,Campo Forte,,
Comércio,Produtos rurais,Agroseed,,
Comércio,Produtos rurais,Agropecuária São José,,
Comércio,Produtos rurais,Agro Mais,,
Comércio,Produtos típicos,Casa do Queijo,,
Comércio,Produtos típicos,Empório Mineiro,,
Comércio,Produtos típicos,Delícias do Sertão,,
Comércio,Produtos típicos,Casa Nordestina,,
Comércio,Produtos típicos,Empório Sergipano,,
Comércio,Produtos típicos,Sabores da Terra,,
Comércio,Produtos típicos,Produtos do Interior,,
Comércio,Produtos típicos,Empório Nordeste,,
Comércio,Produtos típicos,Delícias Regionais,,
Comércio,Produtos típicos,Sabor do Sertão,,
Comércio,Rações,Casa do Criador,,
Comércio,Rações,Agropecuária Nordeste,,
Comércio,Rações,Mundo Animal Rações,,
Comércio,Rações,Rações Brasil,,
Comércio,Rações,Agro Pet Center,,
Comércio,Rações,Casa Rural,,
Comércio,Rações,Rações & Cia,,
Comércio,Rações,Agro Mais,,
Comércio,Rações,Nutri Rações,,
Comércio,Rações,Rações Sergipe,,
Lazer e Entretenimento,Receptivos turísticos,Nozes Tur,,
Lazer e Entretenimento,Receptivos turísticos,Luck Receptivo,,
Lazer e Entretenimento,Receptivos turísticos,Aracaju Turismo,,
Lazer e Entretenimento,Receptivos turísticos,Sergipe Receptivo,,
Lazer e Entretenimento,Receptivos turísticos,Top Tur,,
Lazer e Entretenimento,Receptivos turísticos,CVC,,
Lazer e Entretenimento,Receptivos turísticos,Visual Turismo,,
Lazer e Entretenimento,Receptivos turísticos,Master Turismo,,
Lazer e Entretenimento,Receptivos turísticos,Foco Turismo,,
Lazer e Entretenimento,Receptivos turísticos,Brisa Tur,,
Alimentação,Restaurante,Cariri,,
Alimentação,Restaurante,República dos Camarões,,
Alimentação,Restaurante,O Miguel,,
Alimentação,Restaurante,Muratto Restaurante,,
Alimentação,Restaurante,Sollo Restaurante,,
Alimentação,Restaurante,La Tavola,,
Alimentação,Restaurante,Cantina d'Italia,,
Alimentação,Restaurante,Porto Madero,,
Alimentação,Restaurante,Restaurante Caçarola,,
Alimentação,Restaurante,Restaurante Mangará,,
Comércio,Roupas femininas,Notria,,
Comércio,Roupas femininas,Liss Bella,,
Comércio,Roupas femininas,Vila M,,
Comércio,Roupas femininas,Tendense,,
Comércio,Roupas femininas,Maria Morena,,
Comércio,Roupas femininas,Rosa Choque,,
Comércio,Roupas femininas,Versátil Boutique,,
Comércio,Roupas femininas,Maison Grafite,,
Comércio,Roupas femininas,Lacitta,,
Comércio,Roupas femininas,Dress To,,
Comércio,Roupas masculinas,Aramis,,
Comércio,Roupas masculinas,Richards,,
Comércio,Roupas masculinas,Reserva,,
Comércio,Roupas masculinas,VR Collezioni,,
Comércio,Roupas masculinas,Hering,,
Comércio,Roupas masculinas,Zara,,
Comércio,Roupas masculinas,Renner,,
Comércio,Roupas masculinas,Riachuelo,,
Comércio,Roupas masculinas,Colombo,,
Comércio,Roupas masculinas,TNG,,
Serviços,Salão de Beleza,Studio W,,
Serviços,Salão de Beleza,Salão Jacques Janine,,
Serviços,Salão de Beleza,Salão Mulher & Cia,,
Serviços,Salão de Beleza,Salão Espaço Vip,,
Serviços,Salão de Beleza,Salão Beleza Natural,,
Serviços,Salão de Beleza,Salão Glamour,,
Serviços,Salão de Beleza,Salão Prime,,
Serviços,Salão de Beleza,Salão Essência,,
Serviços,Salão de Beleza,Salão Estilo,,
Serviços,Salão de Beleza,Salão Top Hair,,
Comércio,Sapatos femininos,Arezzo,,
Comércio,Sapatos femininos,Schutz,,
Comércio,Sapatos femininos,Santa Lolla,,
Comércio,Sapatos femininos,Via Uno,,
Comércio,Sapatos femininos,Capodarte,,
Comércio,Sapatos femininos,Anacapri,,
Comércio,Sapatos femininos,Melissa,,
Comércio,Sapatos femininos,Carmen Steffens,,
Comércio,Sapatos femininos,Dakota,,
Comércio,Sapatos femininos,Vizzano,,
Comércio,Sapatos masculinos,Democrata,,
Comércio,Sapatos masculinos,Ferracini,,
Comércio,Sapatos masculinos,CNS,,
Comércio,Sapatos masculinos,West Coast,,
Comércio,Sapatos masculinos,Pegada,,
Comércio,Sapatos masculinos,Kildare,,
Comércio,Sapatos masculinos,Freeway,,
Comércio,Sapatos masculinos,Rafarillo,,
Comércio,Sapatos masculinos,Samello,,
Comércio,Sapatos masculinos,M.Officer,,
Serviços,Segurança e Monitoramento,Verisure,,
Serviços,Segurança e Monitoramento,Prosegur,,
Serviços,Segurança e Monitoramento,Segurpro,,
Serviços,Segurança e Monitoramento,Grupo Graber,,
Serviços,Segurança e Monitoramento,Protege Segurança,,
Serviços,Segurança e Monitoramento,Alerta Segurança,,
Serviços,Segurança e Monitoramento,VigSeg,,
Serviços,Segurança e Monitoramento,Master Segurança,,
Serviços,Segurança e Monitoramento,Safe Monitoramento,,
Serviços,Segurança e Monitoramento,Elite Segurança,,
Alimentação,Sorveteria,Freddo,,
Alimentação,Sorveteria,Bacio di Latte,,
Alimentação,Sorveteria,Gela Boca,,
Alimentação,Sorveteria,Ice Cream Roll,,
Alimentação,Sorveteria,Sorveteria Primavera,,
Alimentação,Sorveteria,Sorveteria Pinguim,,
Alimentação,Sorveteria,Sorveteria Frutos de Goiás,,
Alimentação,Sorveteria,Sorveteria Ki Delícia,,
Alimentação,Sorveteria,Sorveteria Tropical,,
Alimentação,Sorveteria,Sorveteria Aju,,
Comércio,Souvenirs,Loja do Oceanário,,
Comércio,Souvenirs,Loja do Projeto Tamar,,
Comércio,Souvenirs,Casa do Artesanato,,
Comércio,Souvenirs,Sergipe Artes,,
Comércio,Souvenirs,Lembranças de Aracaju,,
Comércio,Souvenirs,Loja Nordeste,,
Comércio,Souvenirs,Artesanato da Orla,,
Comércio,Souvenirs,Casa do Turista,,
Comércio,Souvenirs,Loja Brasil Nordeste,,
Comércio,Souvenirs,Souvenir Sergipe,,
Comércio,Supermercado,GBarbosa,,
Comércio,Supermercado,Bompreço,,
Comércio,Supermercado,Extra,,
Comércio,Supermercado,Assaí,,
Comércio,Supermercado,Atacadão,,
Comércio,Supermercado,Supermercado Nunes Peixoto,,
Comércio,Supermercado,Supermercado Serve Bem,,
Comércio,Supermercado,Supermercado São José,,
Comércio,Supermercado,Supermercado Central,,
Comércio,Supermercado,Supermercado Economia,,
Empresas e Negócios,Suprimentos empresariais,Kalunga,,
Empresas e Negócios,Suprimentos empresariais,Staples,,
Empresas e Negócios,Suprimentos empresariais,Papelaria Globo,,
Empresas e Negócios,Suprimentos empresariais,Office Brasil,,
Empresas e Negócios,Suprimentos empresariais,Supri Mais,,
Empresas e Negócios,Suprimentos empresariais,Master Suprimentos,,
Empresas e Negócios,Suprimentos empresariais,Office Center,,
Empresas e Negócios,Suprimentos empresariais,Papelaria Executiva,,
Empresas e Negócios,Suprimentos empresariais,Suprimentos Nordeste,,
Empresas e Negócios,Suprimentos empresariais,Business Supply,,
Alimentação,Sushi,Senzai Sushi,,
Alimentação,Sushi,Katsu Sushi,,
Alimentação,Sushi,Koni Store,,
Alimentação,Sushi,Giraffas Sushi,,
Alimentação,Sushi,Sushi Prime,,
Alimentação,Sushi,Sushi House,,
Alimentação,Sushi,Sushi Aju,,
Alimentação,Sushi,Tokyo Sushi,,
Alimentação,Sushi,Sushi Bar,,
Alimentação,Sushi,Sabor Oriental,,
Comércio,Tecidos,Casa dos Tecidos,,
Comércio,Tecidos,Tecidos Sergipe,,
Comércio,Tecidos,Casa das Linhas,,
Comércio,Tecidos,Tecidos Nordeste,,
Comércio,Tecidos,Armarinho Central,,
Comércio,Tecidos,Tecidos Brasil,,
Comércio,Tecidos,Loja de Tecidos Jardins,,
Comércio,Tecidos,Tecidos São José,,
Comércio,Tecidos,Tecidos & Cia,,
Comércio,Tecidos,Tecidos Premium,,
Profissionais Liberais,Terapias alternativas,Espaço Holístico,,
Profissionais Liberais,Terapias alternativas,Terapias Naturais SE,,
Profissionais Liberais,Terapias alternativas,Centro de Terapias Integradas,,
Profissionais Liberais,Terapias alternativas,Espaço Vida Zen,,
Profissionais Liberais,Terapias alternativas,Terapias do Bem,,
Profissionais Liberais,Terapias alternativas,Clínica Alternativa,,
Profissionais Liberais,Terapias alternativas,Equilíbrio Holístico,,
Profissionais Liberais,Terapias alternativas,Espaço Luz,,
Profissionais Liberais,Terapias alternativas,Terapia & Energia,,
Profissionais Liberais,Terapias alternativas,Vida Natural Terapias,,
Comércio,Utilidades domésticas,Havan,,
Comércio,Utilidades domésticas,Lojas Americanas,,
Comércio,Utilidades domésticas,Magazine Luiza,,
Comércio,Utilidades domésticas,Casas Bahia,,
Comércio,Utilidades domésticas,Ferreira Costa,,
Comércio,Utilidades domésticas,Novo Mundo,,
Comércio,Utilidades domésticas,Camicado,,
Comércio,Utilidades domésticas,Tok&Stok,,
Comércio,Utilidades domésticas,Casa & Vídeo,,
Comércio,Utilidades domésticas,Utilar,,
